formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Ce(NO3)3,Ce(NO3)3,1.380e+02,1.488e+02,1.624e+02,1.706e+02,1.802e+02,2.030e+02,2.185e+02,2.460e+02,2.984e+02,3.808e+02,4.236e+02,4.917e+02
Co(ClO4)2,Co(ClO4)2,1.000e+02,,,1.128e+02,,,,,,,,
Co(IO3)2(H2O)2,CoH4(IO4)2,,,,6.432e+00,,,,,,,,
Co(NO2)2,Co(NO2)2,8.000e-02,,,4.900e-01,,,,,,,,
Co(NO3)2,Co(NO3)2,8.349e+01,8.868e+01,9.763e+01,1.032e+02,1.101e+02,1.273e+02,1.506e+02,1.674e+02,1.849e+02,2.096e+02,,
Co(OH)2,Co(HO)2,,,,1.059e-04,,,,,,,,
Co(SCN)2,CoC2(SN)2,,,,1.028e+02,,,,,,,,
Co3(AsO4)2,Co3(AsO4)2,,,,4.145e-05,,,,,,,,
Co3(PO4)2,Co3(PO4)2,,,,1.660e-06,,,,,,,,
CoCl2,CoCl2,4.347e+01,4.837e+01,5.354e+01,5.623e+01,5.898e+01,6.466e+01,7.059e+01,7.687e+01,8.349e+01,9.051e+01,9.806e+01,1.062e+02
CoF2,CoF2,,,,1.420e+00,,,,,,,,
CoI2,CoI2,1.381e+02,1.616e+02,1.886e+02,2.029e+02,2.176e+02,2.469e+02,2.761e+02,3.047e+02,3.327e+02,3.604e+02,3.883e+02,4.181e+02
CoSO4,CoSO4,2.484e+01,2.987e+01,3.532e+01,3.831e+01,4.124e+01,4.771e+01,5.244e+01,5.601e+01,5.504e+01,4.970e+01,4.409e+01,3.850e+01
CrO3,CrO3,1.646e+02,1.652e+02,1.674e+02,1.688e+02,1.703e+02,1.740e+02,1.786e+02,1.833e+02,1.899e+02,1.959e+02,2.039e+02,2.115e+02
