formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
LiBr,LiBr,140.3846,150.6266,168.0965,180.8989,193.2551,210.559,215.4574,222.5806,231.1258,241.2969,253.3569,267.6471
LiBrO3,LiBrO3,156.6076,167.5227,181.2148,189.3519,198.5966,221.5434,253.1073,273.6921,291.0833,310.8463,333.4634,361.2546
LiC2H3O2,LiH3(CO)2,31.1647,36.0359,41.6832,44.9696,48.6326,57.4307,68.492,82.3154,99.7204,121.7787,150.2503,187.8526
LiCl,LiCl,67.9261,73.7921,82.7819,84.5359,86.0465,89.7533,94.0617,99.1239,105.2124,112.6755,122.1235,129.0426
LiClO3,LiClO3,273.1343,309.8361,420.8333,458.6592,502.4096,609.2199,675.1938,747.4576,861.5385,1049.4253,1415.1515,2225.5814
LiClO4,LiClO4,43.0615,48.368,55.0388,58.7302,62.8664,72.117,83.4862,96.8504,113.6752,133.6449,158.3979,249.6503
LiF,LiF,0.1201,0.1262,0.1312,0.1342,,,,,,,,
LiH2PO4,LiP(HO2)2,126.2443,,,,,,,,,,,
LiI,LiI,146.3054,153.1646,161.0966,165.252,170.2703,180.112,192.3977,205.8104,220.5128,434.7594,446.4481,474.7126
LiIO3,LiIO3,,,,77.9359,,,,,,,,
LiNO2,LiNO2,69.4915,81.8182,96.0784,104.0816,112.766,127.2727,150.0,170.2703,194.1176,212.5,,
LiNO3,LiNO3,53.3742,60.2564,74.5201,102.0202,137.5297,150.6266,164.5503,177.7778,191.5452,204.878,217.4603,230.033
LiOH,LiHO,12.1076,12.1076,12.3596,12.4859,12.7396,13.2503,13.8952,14.5475,15.4734,16.5501,17.7856,19.1895
LiSCN,LiCSN,,,,119.7802,,,,,,,,
Li2CO3,Li2CO3,1.5641,1.4507,1.3479,1.2966,1.2556,1.1634,1.0816,0.9999,0.9285,0.8573,0.7861,0.7252
Li2C2O4,LiCO2,,,,6.2361,,,,,,,,
Li2HPO3,Li2PHO3,9.9747,9.1703,8.4246,8.0731,7.7354,7.1123,6.5644,6.0558,5.5966,5.1635,4.7449,4.3406
Li2SO4,Li2SO4,35.6852,34.9528,34.4086,34.2282,33.8688,33.3333,32.9787,32.4503,32.1004,31.5789,31.2336,30.8901
Li3PO4,Li3PO4,,,,0.027,,,,,,,,
Lu(NO3)3,Lu(NO3)3,,,,246.0208,,,,,,,,
MgBr2,MgBr2,97.2387,99.2032,101.2072,102.4291,103.666,106.1856,108.7683,111.8644,115.0538,118.3406,122.2222,125.7336
Mg(BrO3)2,Mg(BrO3)2,75.4386,82.4818,92.3077,97.6285,104.0816,118.8184,137.5297,160.4167,188.1844,222.5806,243.6426,253.3569
Mg(C2H3O2)2,MgH6(CO)4,56.6907,60.1281,63.7197,65.5903,,,,,,,,
MgC2O4,Mg(CO2)2,,,,0.038,,,,,,,,
MgCl2,MgCl2,51.4234,53.4919,55.2313,56.0062,56.7398,58.1528,59.5914,61.2123,63.1588,65.6178,68.7764,72.8608
Mg(ClO3)2,Mg(ClO3)2,114.3623,119.2982,131.5351,141.8965,155.8199,189.5194,206.0912,225.4149,244.9465,262.8447,277.0739,
Mg(ClO4)2,Mg(ClO4)2,91.5709,94.9318,98.4127,100.4008,102.0202,105.3388,108.7683,,,,,
MgCrO4,MgCrO4,47.1887,,,54.7748,,,,,,,,
MgCr2O7,MgCr2O7,,,,143.309,,,,,,203.0303,,
MgF2,MgF2,,,,0.013,,,,,,,,
MgI2,MgI2,120.7506,127.7904,139.2344,146.3054,155.102,177.0083,185.7143,185.7143,185.7143,185.7143,186.533,187.3563
Mg(IO3)2,Mg(IO3)2,3.2951,7.1811,8.6012,9.3135,10.0231,11.6695,13.6235,15.8749,18.4834,21.3592,24.3781,
Mg(NO2)2,Mg(NO2)2,,,,88.6792,,,,,,,,
Mg(NO3)2,Mg(NO3)2,62.3377,65.2893,68.9189,71.2329,73.6111,78.8909,84.8429,91.9386,100.0,109.205,240.1361,257.1429
MgSO3,MgSO3,0.321,0.3714,0.4621,0.5227,0.6137,0.8776,0.8573,0.7658,0.6948,0.6441,0.6239,0.6036
MgSO4,MgSO4,22.2494,27.7139,33.5113,35.6852,39.2758,44.7178,50.1502,55.2795,58.4786,56.0062,53.1394,49.925
MgS2O3,MgS2O3,44.3001,,,51.7451,,,,,,,,
MgSeO4,MgSeO4,45.7726,,,55.521,,,,,,,,88.6792
MnBr2,MnBr2,127.2727,136.5184,146.2448,151.1932,156.1475,166.0282,175.8621,185.7959,195.7705,205.9976,216.6561,227.8689
MnCl2,MnCl2,63.1321,68.3502,73.913,77.305,80.8318,88.6792,97.6285,117.8649,120.7506,123.2143,125.7336,127.7904
MnF2,MnF2,0.8065,,,1.0203,,,,,,,,0.4823
Mn(IO3)2,Mn(IO3)2,,,,0.2707,,,,,,,0.3412,
Mn(NO3)2,Mn(NO3)2,102.0202,,,161.0966,,,,,,,,
MnSO4,MnSO4,52.9052,59.4896,62.8664,63.6661,63.6661,60.5136,56.9859,52.9052,48.8095,44.5087,40.4494,36.4256
NH4Br,H4BrN,60.0,67.2241,74.5201,78.2531,82.1494,89.7533,97.6285,105.3388,112.766,120.2643,127.7904,134.7418
NH4Cl,H4NCl,29.7353,33.547,37.4948,39.5479,41.623,45.9002,50.3759,55.0147,59.8977,65.0165,70.4449,76.1804
NH4ClO4,H4NClO4,12.1076,16.4144,21.6545,24.533,27.7139,34.7709,42.4501,50.6024,59.4896,68.6341,77.9359,87.2659
NH4F,H4NF,71.5266,76.0563,80.8318,83.4862,86.2197,91.5709,97.2387,103.666,110.5263,117.8649,,
NH4HCO3,H5CNO3,11.8568,15.8749,21.3592,24.8439,28.866,38.6963,51.9757,70.6485,97.2387,138.6635,208.642,354.5455
NH4H2AsO4,AsH6NO4,33.6898,40.8451,48.5884,52.6718,56.9859,65.8375,75.7469,85.8736,97.2387,109.205,122.2222,
NH4H2PO4,PH6NO4,21.6545,28.2051,35.8696,40.4494,45.3488,56.7398,71.2329,89.3939,112.766,145.098,191.5452,262.3188
NH4I,H4IN,154.4529,163.8522,173.224,177.7778,182.4859,192.3977,201.2048,210.559,219.4888,228.9474,237.8378,246.0208
NH4IO3,H4INO3,,,,3.8422,4.3841,5.9771,8.2603,,,,,
NH4NO2,H2NO,125.7336,143.9024,184.9003,220.5128,,,,,,,,
NH4NO3,H4N2O3,117.3913,150.6266,189.8551,212.5,236.7003,289.1051,348.4305,420.8333,502.4096,604.2254,747.4576,930.9278
NH4SCN,H4CSN2,,,,180.8989,,,,,429.1005,,,
(NH4)2C2O4,H4CNO2,2.3646,3.2098,4.4386,5.1967,6.0783,8.1783,10.7788,13.8952,17.7856,22.399,27.8772,34.5895
(NH4)2HPO4,PH9(NO2)2,57.2327,61.8123,66.6667,69.4915,72.4138,78.8909,85.8736,94.1748,103.666,114.1328,126.7574,141.5459
(NH4)2S2O5,H8S2N2O5,189.8551,211.5265,231.1258,238.9831,248.4321,261.0108,269.0037,271.7472,,,,
(NH4)2S2O8,H4SNO4,58.7302,67.9261,78.0627,83.4526,89.0717,101.005,114.0411,128.467,144.6782,163.1579,,
(NH4)2SO3,H8SN2O3,47.4926,53.6098,60.5136,64.2036,68.3502,77.6199,88.6792,102.4291,119.7802,143.309,,
(NH4)2SO4,H8S(NO2)2,70.3578,72.7116,75.1313,76.3668,77.9359,80.8318,83.8235,87.2659,90.4762,94.1748,98.0198,102.0202
(NH4)2SeO3,H8SeN2O3,96.0784,104.499,114.5923,120.7506,127.2727,143.309,163.1579,189.0173,223.6246,,,
(NH4)2SeO4,H8Se(NO2)2,,,,117.4859,,,,,,,,
(NH4)3PO4,PH12N3O4,,,,18.3432,,,,,,,,
NaBr,NaBr,79.8561,84.8429,91.2046,94.5525,98.4127,106.6116,115.9827,117.8649,118.8184,119.7802,120.7506,121.7295
NaBrO3,NaBrO3,25.0,30.2423,36.3327,39.4311,42.572,48.876,55.159,61.4205,67.7008,73.9736,,
NaCHO2,NaHCO2,44.5087,61.0306,84.1621,94.9318,102.4291,108.3333,115.0538,122.2222,,,,
NaC2H3O2,NaH3(CO)2,36.0544,40.4494,46.6276,50.3759,55.0388,66.3894,82.1494,139.8082,145.7002,153.1646,161.0966,169.5418
NaCl,NaCl,35.6484,35.722,35.888,35.9619,36.0915,36.3698,36.6867,37.0426,37.457,37.931,38.4658,38.9854
NaClO,NaClO,29.3661,,,79.8561,,,,,,,,
NaClO2,NaClO2,,,,3233.3333,,,,2027.6596,,,,
NaClO3,NaClO3,79.4366,87.5117,97.2387,100.4008,104.918,115.5172,124.7191,132.5581,140.9639,153.1646,172.4796,203.9514
NaClO4,NaClO4,162.4672,178.5515,195.858,204.878,215.4574,237.8378,263.6364,286.1004,295.2569,306.5041,318.41,329.1845
NaF,NaF,3.6484,3.8637,4.0474,4.1341,4.2209,4.3841,4.5369,4.6682,4.7889,4.8878,4.9869,5.0641
NaHCO3,NaHCO3,6.929,8.2134,9.565,10.2779,11.0001,12.5239,14.1553,15.8749,17.6747,19.5743,21.551,23.6094
NaHSO4,NaHSO4,,,,28.5347,,,,,,,,49.925
NaH2PO4,NaP(HO2)2,57.5796,69.6929,85.1852,94.8558,106.3558,137.4733,161.0966,165.252,193.2551,219.4888,,
NaI,NaI,157.732,165.9574,177.0083,184.0909,191.5452,209.5975,231.1258,257.1429,295.2569,296.8254,298.4064,301.6064
NaIO3,NaIO3,2.4905,4.6025,8.4363,9.4691,10.6195,13.2118,16.2656,19.7892,23.839,26.7427,29.7017,32.8021
NaIO4,NaIO4,,,,14.4427,,,,,,,,
NaNO2,NaNO2,72.117,76.6784,82.1494,84.8429,87.9699,94.9318,102.8398,111.8644,122.2222,133.6449,146.9136,161.7801
NaNO3,NaNO3,73.0104,79.8561,87.2659,91.2046,95.3125,104.0816,113.6752,123.7136,135.2941,147.5248,161.0966,176.2431
