formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
NdCl3,NdCl3,96.08,97.24,98.81,100.0,101.61,104.92,109.21,114.13,119.78,126.24,133.1,140.96
Nd(NO3)3,Nd(NO3)3,126.04,135.24,146.12,152.4,159.27,175.41,196.47,227.55,,,,
NiCl2,NiCl2,53.14,56.49,62.6,67.5,71.53,72.71,76.06,81.82,85.53,85.87,86.57,87.27
Ni(ClO4)2,Ni(ClO4)2,104.5,,,111.86,,,,,,,,
NiF2,NiF2,,,,2.56,,,,,,,2.59,
NiI2,NiI2,124.22,136.29,148.63,154.39,159.74,168.82,175.71,180.74,184.09,186.45,188.18,
Ni(NO3)2,Ni(NO3)2,78.89,85.19,93.8,99.2,105.34,120.26,139.81,156.41,171.0,190.7,211.53,222.58
NiSO4,NiSO4,27.23,32.28,37.74,40.45,43.47,47.06,51.75,55.76,60.51,66.39,73.31,81.16
Ni(SCN)2,NiC2(SN)2,,,,54.99,,,,,,,,
NiSeO4,NiSeO4,27.55,,35.5,,,,,,,,,83.82
PbBr2,PbBr2,0.45,0.62,0.85,0.98,1.13,1.48,1.93,,,,,
PbCl2,PbCl2,0.66,0.82,0.99,1.08,1.18,1.41,1.67,1.97,2.29,2.67,3.08,3.54
Pb(ClO4)2,Pb(ClO4)2,,,,440.54,,,,,,,,
PbF2,PbF2,,0.06,0.06,0.07,0.07,,,,,,,
PbI2,PbI2,0.04,0.05,0.07,0.08,0.09,0.11,0.14,0.19,0.24,0.32,,
Pb(IO3)2,Pb(IO3)2,,,,0.0,,,,,,,,
Pb(NO3)2,Pb(NO3)2,39.78,47.34,55.45,59.69,64.07,73.07,82.38,91.94,101.69,111.51,121.34,131.21
PbSO4,PbSO4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,,,,,
PrCl3,PrCl3,92.31,92.68,94.55,96.08,98.02,103.25,109.64,117.86,127.79,139.81,,
